company_id,year,previous_pattern,current_pattern
CIPLA,Mar 2014,Mixed,Shareholder Returns
CIPLA,Mar 2015,Shareholder Returns,Mixed
CIPLA,Mar 2017,Mixed,Shareholder Returns
CIPLA,Mar 2020,Shareholder Returns,Liquidating Assets
CIPLA,Mar 2021,Liquidating Assets,Shareholder Returns
CIPLA,Mar 2024,Shareholder Returns,Reinvestor
COALINDIA,Mar 2014,Reinvestor,Liquidating Assets
COALINDIA,Mar 2018,Liquidating Assets,Shareholder Returns
COALINDIA,Mar 2019,Shareholder Returns,Reinvestor
COALINDIA,Mar 2020,Reinvestor,Liquidating Assets
COALINDIA,Mar 2022,Liquidating Assets,Shareholder Returns
COALINDIA,Mar 2024,Shareholder Returns,Reinvestor
DABUR,Mar 2015,Shareholder Returns,Reinvestor
DABUR,Mar 2019,Reinvestor,Liquidating Assets
DABUR,Mar 2020,Liquidating Assets,Shareholder Returns
DABUR,Mar 2023,Shareholder Returns,Reinvestor
DABUR,Mar 2024,Reinvestor,Shareholder Returns
DIVISLAB,Mar 2017,Reinvestor,Mixed
DIVISLAB,Mar 2018,Mixed,Reinvestor
DIVISLAB,Mar 2021,Reinvestor,Liquidating Assets
DIVISLAB,Mar 2022,Liquidating Assets,Reinvestor
DIVISLAB,Mar 2023,Reinvestor,Shareholder Returns
DIVISLAB,Mar 2024,Shareholder Returns,Reinvestor
DLF,Mar 2016,Liquidating Assets,Shareholder Returns
DLF,Mar 2017,Shareholder Returns,Distress Signal
DLF,Mar 2018,Distress Signal,Reinvestor
DLF,Mar 2019,Reinvestor,Cash Accumulator
DLF,Mar 2020,Cash Accumulator,Liquidating Assets
DLF,Mar 2023,Liquidating Assets,Shareholder Returns
DLF,Mar 2024,Shareholder Returns,Mixed
DMART,Mar 2018,Mixed,Liquidating Assets
DMART,Mar 2019,Liquidating Assets,Mixed
DMART,Mar 2021,Mixed,Shareholder Returns
DMART,Mar 2022,Shareholder Returns,Reinvestor
DMART,Mar 2023,Reinvestor,Shareholder Returns
DRREDDY,Mar 2014,Reinvestor,Shareholder Returns
DRREDDY,Mar 2024,Shareholder Returns,Reinvestor
EICHERMOT,Mar 2017,Shareholder Returns,Mixed
EICHERMOT,Mar 2018,Mixed,Shareholder Returns
EICHERMOT,Mar 2019,Shareholder Returns,Reinvestor
EICHERMOT,Mar 2021,Reinvestor,Shareholder Returns
EICHERMOT,Mar 2022,Shareholder Returns,Reinvestor
GAIL,Mar 2014,Mixed,Reinvestor
GAIL,Mar 2015,Reinvestor,Shareholder Returns
GAIL,Mar 2020,Shareholder Returns,Mixed
GAIL,Mar 2021,Mixed,Shareholder Returns
GAIL,Mar 2022,Shareholder Returns,Reinvestor
GAIL,Mar 2023,Reinvestor,Mixed
GAIL,Mar 2024,Mixed,Shareholder Returns
GODREJCP,Mar 2014,Mixed,Shareholder Returns
GODREJCP,Mar 2017,Shareholder Returns,Mixed
GODREJCP,Mar 2018,Mixed,Shareholder Returns
GODREJCP,Mar 2019,Shareholder Returns,Liquidating Assets
GODREJCP,Mar 2020,Liquidating Assets,Shareholder Returns
GODREJCP,Mar 2022,Shareholder Returns,Reinvestor
GODREJCP,Mar 2023,Reinvestor,Shareholder Returns
GODREJCP,Mar 2024,Shareholder Returns,Mixed
GRASIM,Mar 2014,Mixed,Shareholder Returns
GRASIM,Mar 2018,Shareholder Returns,Distress Signal
GRASIM,Mar 2019,Distress Signal,Growth Funded by Debt
GRASIM,Mar 2020,Growth Funded by Debt,Shareholder Returns
GRASIM,Mar 2022,Shareholder Returns,Reinvestor
GRASIM,Mar 2023,Reinvestor,Growth Funded by Debt
HAL,Mar 2019,Other,Distress Signal
HAL,Mar 2020,Distress Signal,Mixed
HAL,Mar 2021,Mixed,Shareholder Returns
HAVELLS,Mar 2016,Shareholder Returns,Reinvestor
HAVELLS,Mar 2017,Reinvestor,Shareholder Returns
HAVELLS,Mar 2019,Shareholder Returns,Liquidating Assets
HAVELLS,Mar 2020,Liquidating Assets,Shareholder Returns
HAVELLS,Mar 2021,Shareholder Returns,Mixed
HAVELLS,Mar 2022,Mixed,Shareholder Returns
HAVELLS,Mar 2023,Shareholder Returns,Liquidating Assets
HAVELLS,Mar 2024,Liquidating Assets,Shareholder Returns
HCLTECH,Jun 2014,Shareholder Returns,Reinvestor
HCLTECH,Mar 2017,Reinvestor,Shareholder Returns
HCLTECH,Mar 2018,Shareholder Returns,Reinvestor
HCLTECH,Mar 2020,Reinvestor,Shareholder Returns
HCLTECH,Mar 2022,Shareholder Returns,Liquidating Assets
HCLTECH,Mar 2023,Liquidating Assets,Shareholder Returns
HDFCBANK,Mar 2014,Growth Funded by Debt,Mixed
HDFCBANK,Mar 2015,Mixed,Growth Funded by Debt
HDFCBANK,Mar 2017,Growth Funded by Debt,Shareholder Returns
HDFCBANK,Mar 2018,Shareholder Returns,Mixed
HDFCBANK,Mar 2019,Mixed,Growth Funded by Debt
HDFCBANK,Mar 2021,Growth Funded by Debt,Shareholder Returns
HDFCBANK,Mar 2022,Shareholder Returns,Growth Funded by Debt
HDFCBANK,Mar 2023,Growth Funded by Debt,Mixed
HDFCBANK,Mar 2024,Mixed,Liquidating Assets
HDFCLIFE,Mar 2015,Pre-Revenue,Shareholder Returns
HDFCLIFE,Mar 2020,Shareholder Returns,Mixed
HDFCLIFE,Mar 2022,Mixed,Shareholder Returns
HDFCLIFE,Mar 2023,Shareholder Returns,Mixed
HDFCLIFE,Mar 2024,Mixed,Shareholder Returns
HEROMOTOCO,Mar 2015,Shareholder Returns,Liquidating Assets
HEROMOTOCO,Mar 2016,Liquidating Assets,Shareholder Returns
HEROMOTOCO,Mar 2019,Shareholder Returns,Liquidating Assets
HEROMOTOCO,Mar 2020,Liquidating Assets,Shareholder Returns
HEROMOTOCO,Mar 2022,Shareholder Returns,Reinvestor
HEROMOTOCO,Mar 2024,Reinvestor,Shareholder Returns
HINDALCO,Mar 2015,Mixed,Shareholder Returns
HINDALCO,Mar 2016,Shareholder Returns,Reinvestor
HINDALCO,Mar 2017,Reinvestor,Shareholder Returns
HINDALCO,Mar 2018,Shareholder Returns,Liquidating Assets
HINDALCO,Mar 2019,Liquidating Assets,Shareholder Returns
HINDALCO,Mar 2020,Shareholder Returns,Mixed
HINDALCO,Mar 2021,Mixed,Shareholder Returns
HINDUNILVR,Mar 2014,Liquidating Assets,Reinvestor
HINDUNILVR,Mar 2015,Reinvestor,Liquidating Assets
HINDUNILVR,Mar 2016,Liquidating Assets,Shareholder Returns
HINDUNILVR,Mar 2019,Shareholder Returns,Reinvestor
HINDUNILVR,Mar 2020,Reinvestor,Liquidating Assets
HINDUNILVR,Mar 2021,Liquidating Assets,Shareholder Returns
HINDUNILVR,Mar 2023,Shareholder Returns,Reinvestor
HINDUNILVR,Mar 2024,Reinvestor,Shareholder Returns
ICICIBANK,Mar 2015,Mixed,Growth Funded by Debt
ICICIBANK,Mar 2016,Growth Funded by Debt,Mixed
ICICIBANK,Mar 2017,Mixed,Shareholder Returns
ICICIBANK,Mar 2018,Shareholder Returns,Mixed
ICICIBANK,Mar 2019,Mixed,Shareholder Returns
ICICIBANK,Mar 2020,Shareholder Returns,Mixed
ICICIBANK,Mar 2021,Mixed,Shareholder Returns
ICICIBANK,Mar 2022,Shareholder Returns,Mixed
ICICIBANK,Mar 2023,Mixed,Growth Funded by Debt
ICICIBANK,Mar 2024,Growth Funded by Debt,Mixed
ICICIGI,Mar 2015,Mixed,Other
ICICIGI,Mar 2016,Other,Shareholder Returns
ICICIGI,Mar 2017,Shareholder Returns,Mixed
ICICIGI,Mar 2018,Mixed,Shareholder Returns
ICICIGI,Mar 2022,Shareholder Returns,Liquidating Assets
ICICIGI,Mar 2023,Liquidating Assets,Shareholder Returns
ICICIPRULI,Mar 2015,Other,Reinvestor
ICICIPRULI,Mar 2016,Reinvestor,Liquidating Assets
ICICIPRULI,Mar 2017,Liquidating Assets,Shareholder Returns
ICICIPRULI,Mar 2021,Shareholder Returns,Mixed
ICICIPRULI,Mar 2022,Mixed,Shareholder Returns
ICICIPRULI,Mar 2023,Shareholder Returns,Reinvestor
ICICIPRULI,Mar 2024,Reinvestor,Other
INDIGO,Mar 2015,Mixed,Shareholder Returns
INDIGO,Mar 2018,Shareholder Returns,Mixed
INDIGO,Mar 2019,Mixed,Shareholder Returns
INDIGO,Mar 2020,Shareholder Returns,Reinvestor
INDIGO,Mar 2021,Reinvestor,Other
INDIGO,Mar 2022,Other,Liquidating Assets
INDIGO,Mar 2023,Liquidating Assets,Reinvestor
INDIGO,Mar 2024,Reinvestor,Shareholder Returns
INDUSINDBK,Mar 2017,Growth Funded by Debt,Shareholder Returns
INDUSINDBK,Mar 2018,Shareholder Returns,Growth Funded by Debt
INDUSINDBK,Mar 2020,Growth Funded by Debt,Distress Signal
INDUSINDBK,Mar 2021,Distress Signal,Shareholder Returns
INDUSINDBK,Mar 2023,Shareholder Returns,Growth Funded by Debt
INDUSINDBK,Mar 2024,Growth Funded by Debt,Pre-Revenue
INFY,Mar 2015,Reinvestor,Liquidating Assets
INFY,Mar 2016,Liquidating Assets,Reinvestor
INFY,Mar 2018,Reinvestor,Liquidating Assets
INFY,Mar 2019,Liquidating Assets,Reinvestor
INFY,Mar 2020,Reinvestor,Shareholder Returns
INFY,Mar 2023,Shareholder Returns,Reinvestor
IOC,Mar 2014,Mixed,Shareholder Returns
IOC,Mar 2019,Shareholder Returns,Mixed
IOC,Mar 2021,Mixed,Shareholder Returns
IRCTC,Mar 2016,Reinvestor,Liquidating Assets
IRCTC,Mar 2019,Liquidating Assets,Shareholder Returns
IRCTC,Mar 2020,Shareholder Returns,Liquidating Assets
IRCTC,Mar 2021,Liquidating Assets,Shareholder Returns
IRCTC,Mar 2022,Shareholder Returns,Reinvestor
IRFC,Mar 2022,Distress Signal,Growth Funded by Debt
IRFC,Mar 2023,Growth Funded by Debt,Distress Signal
IRFC,Mar 2024,Distress Signal,Shareholder Returns
