company_id,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,revenue_flag_3yr,revenue_flag_5yr,revenue_flag_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,pat_flag_3yr,pat_flag_5yr,pat_flag_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,eps_flag_3yr,eps_flag_5yr,eps_flag_10yr
NTPC,16.97,12.22,8.59,OK,OK,OK,12.53,8.74,6.46,OK,OK,OK,11.87,8.45,5.76,OK,OK,OK
ONGC,24.86,7.0,13.01,OK,OK,OK,38.79,10.97,7.91,OK,OK,OK,44.22,10.2,6.39,OK,OK,OK
PFC,8.49,11.08,15.64,OK,OK,OK,18.97,15.92,17.09,OK,OK,OK,18.56,14.87,13.44,OK,OK,OK
PIDILITIND,19.3,11.84,11.2,OK,OK,OK,15.77,13.49,14.53,OK,OK,OK,15.62,13.56,14.22,OK,OK,OK
PNB,10.0,15.9,9.27,OK,OK,OK,50.34,,9.56,OK,TURNAROUND,OK,58.74,,-8.76,OK,TURNAROUND,OK
POWERGRID,4.97,5.51,11.41,OK,OK,OK,8.97,9.19,13.1,OK,OK,OK,9.35,9.1,13.02,OK,OK,OK
RECLTD,10.15,13.34,10.68,OK,OK,OK,19.08,19.76,11.55,OK,OK,OK,19.06,19.67,11.61,OK,OK,OK
RELIANCE,24.46,9.61,7.57,OK,OK,OK,13.71,14.68,13.36,OK,OK,OK,9.35,11.95,12.29,OK,OK,OK
SBILIFE,17.24,24.23,22.56,OK,OK,OK,9.16,7.37,10.03,OK,OK,OK,8.2,7.89,10.5,OK,OK,OK
SBIN,16.45,11.63,8.79,OK,OK,OK,42.79,83.41,16.73,OK,OK,OK,44.22,90.37,14.72,OK,OK,OK
SHREECEM,14.81,10.33,13.64,OK,OK,OK,-9.49,11.29,8.21,OK,OK,OK,-9.43,10.68,7.82,OK,OK,OK
SHRIRAMFIN,27.83,18.56,15.68,OK,OK,OK,43.59,23.49,18.48,OK,OK,OK,29.4,14.29,13.49,OK,OK,OK
